書刊名稱,出版日期,數量
2024年緊急應變指南,001,9999
游離輻射防護彙萃,002,9999
陸軍軍隊教學法教材,003,9999
陸軍化學兵連排戰鬥實務手册,004,9999
M110A2自走式8吋榴彈砲操作手冊,92.11.3,1
M114A1牽引式155公厘榴彈砲操作手冊,92.11.3,1
M2牽引式155公厘加農砲暨8吋榴彈砲操作手冊,92.11.3,1
M3機動浮門橋操作手冊,90.06.29,1
TH-67直升機訓練教範,114.11.20,1
陸軍LSB重框橋架設作業手冊(第一版),99.07.22,1
陸軍M107A1-12.7公厘狙擊槍操作手冊(第一版),103.6.3,1
陸軍M24 7.62公厘狙擊槍操作手冊(第一版),98.11.11,1
陸軍M2A2成功艇操作手冊(第一版),100.8.22,1
陸軍M82A1M-12.7公厘狙擊槍操作手冊(第一版),98.11.16,1
陸軍REPR-20 7.62公厘狙擊槍操作手冊(第一版),103.6.6,1
陸軍工兵測量儀器操作手冊(第二版),98.10.12,1
陸軍空中突擊作戰教範(第一版),100.9.7,1
陸軍空域管制作業手冊(第一版),102.8.27,1
陸軍特種作戰技術訓練手冊(上冊),114.12.4,1
陸軍特種作戰技術訓練手冊(下冊),114.12.4,1
陸軍特戰部隊訓練教範,111.11.29,1
陸軍航空部隊攻擊組教範(第二版),97.6.10,1
陸軍偵察突擊舟操作手冊(第二版),103.06.25,1
陸軍渡河訓練教範(第一版),98.09.02,1
陸軍據點群作戰教範(第一版),103.7.2,1
陸軍橋樑營、連作戰教範(第二版),103.10.02,1
聯合化生放核防禦教則(試行本)JP3.4.3,100.09.23,1
聯合特種部隊作戰計畫教則(草案)JP5.3,98.09.21,1
聯合資電作戰教則(試行本)JP3.4.1,100.09.23,1
聯合戰役計畫教則(草案)JP5.2,98.09.21,1
AN/PRC-174、VRC-174、176無線電機操作手冊,90.11.5,2
AN/PRC-77、GRC-160無線電機操作手冊,90.11.5,2
AN/VRC-46、47、49無線電機操作手冊,90.11.5,2
CTM-218/DX-15E多波道機操作手冊,90.11.5,2
FM-200/DX-15-60多波道機操作手冊,90.11.05,2
KY-1000A數位式電子交換機操作手冊,90.11.5,2
M101A1式105榴彈砲教練手冊,90.12.12,2
MGB中框橋操作手冊(上冊),90.09.24,2
MGB中框橋操作手冊(下冊),90.09.24,2
TH-67訓練手冊,112.10.30,2
W1102D壓路機操作手冊,96.05.02,2
反裝甲營、連作戰教則(第二版)(反裝甲部隊作戰教範),96.11.8,2
地雷作業手冊(第一版),97.10.31,2
兩棲偵察營作戰教範,112.8.30,2
拋繩槍操作手冊(第一版),96.11.19,2
直升機空中突擊訓練教範,111.12.5,2
空投暨保傘專長訓練手冊,111.10.5,2
空降導航及地面導引訓練教範,113.10.25,2
近程反裝甲火箭-APILAS操作手冊,89.11.30,2
近程反裝甲火箭-AT-4操作手冊,89.11.30,2
香檳710A平路機操作手冊,92.08.01,2
旅、營、連級野戰數位電子交換機操作手冊,112.11.08,2
特種作戰情報技術訓練教範(第一版),98.3.4,2
高空特種勤務中、區隊訓練教範(第一版),98.3.19,2
高空特種勤務中隊作戰教範,111.12.5,2
高空特種勤務技術專長訓練手冊(第一版),97.7.31,2
